adduser 3.134
apt 2.6.1
apt-utils 2.6.1
base-files 12.4+deb12u6
base-passwd 3.6.1
bash 5.2.15-2+b7
bsdutils 1:2.38.1-5+deb12u1
build-essential 12.9
ca-certificates 20230311
cmake 3.25.1-1
coreutils 9.1-1
cpio 2.13+dfsg-7.1
cron 3.0pl1-162
cron-daemon-common 3.0pl1-162
curl 7.88.1-10+deb12u6
dash 0.5.12-2
debconf 1.5.82
debconf-i18n 1.5.82
debian-archive-keyring 2023.3+deb12u1
debianutils 5.7-0.5~deb12u1
diffutils 1:3.8-4
dmidecode 3.4-1
dmsetup 2:1.02.185-2
dpkg 1.21.22
e2fsprogs 1.47.0-2
fdisk 2.38.1-5+deb12u1
findutils 4.9.0-4
firefox-esr 115.13.0esr-1~deb12u1
gcc-12-base:amd64 12.2.0-14
gdal-bin 3.6.2+dfsg-1+b2
gedit 44.2-1
gpgv 2.2.40-1.1
grep 3.8-5
gzip 1.12-1
hostname 3.23+nmu1
ifupdown 0.8.41
init 1.65.2
init-system-helpers 1.65.2
iproute2 6.1.0-3
iputils-ping 3:20221126-1
isc-dhcp-client 4.4.3-P1-2
isc-dhcp-common 4.4.3-P1-2
kmod 30+20221128-1
less 590-2.1~deb12u2
libacl1:amd64 2.3.1-3
libapparmor1:amd64 3.0.8-3
libapt-pkg6.0:amd64 2.6.1
libargon2-1:amd64 0~20171227-0.3+deb12u1
libattr1:amd64 1:2.5.1-4
libaudit-common 1:3.0.9-1
libaudit1:amd64 1:3.0.9-1
libblkid1:amd64 2.38.1-5+deb12u1
libboost-dev:amd64 1.74.0.3
libboost-program-options-dev:amd64 1.74.0.3
libboost-serialization-dev:amd64 1.74.0.3
libboost-system-dev:amd64 1.74.0.3
libboost-thread-dev:amd64 1.74.0.3
libbpf1:amd64 1:1.1.0-1
libbsd0:amd64 0.11.7-2
libbz2-1.0:amd64 1.0.8-5+b1
libc-bin 2.36-9+deb12u7
libc-l10n 2.36-9+deb12u7
libc6:amd64 2.36-9+deb12u7
libcap-ng0:amd64 0.8.3-1+b3
libcap2:amd64 1:2.66-4
libcap2-bin 1:2.66-4
libcom-err2:amd64 1.47.0-2
libcrypt1:amd64 1:4.4.33-2
libcryptsetup12:amd64 2:2.6.1-4~deb12u2
libdb5.3:amd64 5.3.28+dfsg2-1
libdbus-1-dev:amd64 1.14.10-1~deb12u1
libdebconfclient0:amd64 0.270
libdevmapper1.02.1:amd64 2:1.02.185-2
libedit2:amd64 3.1-20221030-2
libeigen3-dev 3.4.0-4
libelf1:amd64 0.188-2.1
libext2fs2:amd64 1.47.0-2
libfdisk1:amd64 2.38.1-5+deb12u1
libffi8:amd64 3.4.4-1
libgcc-s1:amd64 12.2.0-14
libgcrypt20:amd64 1.10.1-3
libgdal-dev 3.6.2+dfsg-1+b2
libglib2.0-dev:amd64 2.74.6-2+deb12u3
libgmp-dev:amd64 2:6.2.1+dfsg1-1.1
libgmp10:amd64 2:6.2.1+dfsg1-1.1
libgmp3-dev:amd64 2:6.2.1+dfsg1-1.1
libgmpxx4ldbl:amd64 2:6.2.1+dfsg1-1.1
libgnutls30:amd64 3.7.9-2+deb12u3
libgpg-error0:amd64 1.46-1
libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
libhogweed6:amd64 3.8.1-2
libidn2-0:amd64 2.3.3-1+b1
libip4tc2:amd64 1.8.9-2
libjansson4:amd64 2.14-2
libjson-c5:amd64 0.16-2
libk5crypto3:amd64 1.20.1-2+deb12u2
libkeyutils1:amd64 1.6.3-2
libkmod2:amd64 30+20221128-1
libkrb5-3:amd64 1.20.1-2+deb12u2
libkrb5support0:amd64 1.20.1-2+deb12u2
liblocale-gettext-perl 1.07-5
